1;061803010101;Proteza za Bataljak šake i prste, kozmetièka, plastièna;Otto Bock Adria;Otto Bock Adria;Proteza za Bataljak šake i prste, kozmetièka, plastièna, Otto Bock Adria;Proteza za bataljak šake i prste, kozmetièka, plastièna, 8S11;1;2, 3;5;NE;kom;1;1 god.; 1,5 god; 3 god.;2.232,50;I;I;SPPD;Plastika, guma, svi moduli i materijali-originalni proizvod. ;
2;061803010201;Proteza za bataljak šake i prste, funkcionalna, mehanièka;Otto Bock Adria;Otto Bock Adria;Proteza za bataljak šake i prste, funkcionalna, mehanièka, Otto Bock Adria;Proteza za bataljak šake i prste, funkcionalna, mehanièka, 8K20;1;2, 3;5;NE;kom;1;1 god.; 1,5 god; 3 god.;4.132,50;I;I;SPPD;Plastika, metal, svi moduli i materijali-originalni proizvod. ;
3;061803010301;Proteza za bataljak šake i prste, funkcionalna, mioelektronièka-transkarpalna;Otto Bock Adria;Otto Bock Adria;Proteza za bataljak šake i prste, funkcionalna, mioelektronièka-transkarpalna, Otto Bock Adria;Proteza za bataljak šake i prste, funkcionalna, mioelektronièka-transkarpalna, 8E39-7, 13E200, 13E51, 13E129, 13E190, 13E188, 757Z184, 757Z103, 757B15, 757L14;1;2, 3;5;NE;kom;1;2 god;3 god;3 god;40.375,00;I;I;SPPD;Metal - plastika, svi moduli i materijali-originalni proizvod. ;
;;Proteze za šaku (dezartikulacijski batrljak);;;;;;;;;;;;;;;;;;;
4;061806010401;Proteza za šaku, kozmetièka, plastièna, gumena šaka;Otto Bock Adria;Otto Bock Adria;Proteza za šaku, kozmetièka, plastièna, gumena šaka, Otto Bock Adria;Proteza za šaku, kozmetièka, plastièna, gumena šaka, 8S4, 8S7, 10A40, 99B13;1;2, 3;5;NE;kom;1;1 god;1,5 god;3 god;2.802,50;I;I;SPPD;Plastika, guma, svi moduli i materijali-originalni proizvod. ;
5;061806010501;Proteza za šaku, funkcionalna, mehanièka;Otto Bock Adria;Otto Bock Adria;Proteza za šaku, funkcionalna, mehanièka, Otto Bock Adria;Proteza za šaku, funkcionalna, mehanièka, 8K20, 10V18, 8S4, 99B13, 21A36;1;2, 3;5;NE;kom;1;2 god;3 god;3 god;7.980,00;I;I;SPPD;Metal - plastika, svi moduli i materijali-originalni proizvod. ;
6;061806010601;Proteza za šaku, funkcionalna, mioelektronièka-dezartikulacijska;Otto Bock Adria;Otto Bock Adria;Proteza za šaku, funkcionalna, mioelektronièka-dezartikulacijska, Otto Bock Adria;Proteza za šaku, funkcionalna, mioelektronièka-dezartikulacijska, 8E39-7, 13E200, 13E51, 13E129, 13E190, 757Z103, 757B15, 757L14, 10V18;1;2, 3;5;NE;kom;1;2 god;3 god;3 god;43.428,63;I;I;SPPD;Metal - plastika, svi moduli i materijali-originalni proizvod. ;
;;Proteze za podlakticu (transradijalni bataljak);;;;;;;;;;;;;;;;;;;
7;061809010701;Proteza za podlakticu, kozmetièka, plastièna, gumena šaka;Otto Bock Adria;Otto Bock Adria;Proteza za podlakticu, kozmetièka, plastièna, gumena šaka, Otto Bock Adria;Proteza za podlakticu, kozmetièka, plastièna, gumena šaka, 8S6, 8S9, 8S5, 8S8, 8S4, 8S7, 10A40, 99B13;1;2, 3;5;NE;kom;1;1 god.; 1,5 god; 3 god.;3.097,24;I;I;SPPD;Plastika, guma, svi moduli i materijali-originalni proizvod. ;
8;061809010801;Proteza za podlakticu, funkcionalna, mehanièka;Otto Bock Adria;Otto Bock Adria;Proteza za podlakticu, funkcionalna, mehanièka, Otto Bock Adria;Proteza za podlakticu, funkcionalna, mehanièka, 8K20, 10V18, 8S4, 99B13, 21A36;1;2, 3;5;NE;kom;1;2 god.; 3 god.; 3 god.;8.238,62;I;I;SPPD;Metal - plastika, svi moduli i materijali-originalni proizvod. ;
